Qualification Level,median_salary,count,wage_ratio,degree_not
1,23000.0,276,0.9615384615384616,No
2,23000.0,6170,0.9615384615384616,No
3,23000.0,9700,0.9615384615384616,No
4,21450.0,57,0.8967391304347826,Yes
5,23400.0,66,0.9782608695652174,Yes
6,23010.0,2797,0.9619565217391305,Yes
