profession,month_year,nation,salary_type,salary,median_salary
Early Years Practitioner,2022-07-01,Scotland,Min,28231.085,29588
Early Years Practitioner,2022-07-01,Wales,Min,19831.93,29588
Early Years Practitioner,2022-08-01,England,Min,22665.07,29588
Early Years Practitioner,2022-08-01,Northern Ireland,Min,,29588
Early Years Practitioner,2022-08-01,Scotland,Min,23427.835,29588
Early Years Practitioner,2022-08-01,Wales,Min,22670.73,29588
Early Years Practitioner,2022-09-01,England,Min,22629.65,29588
Early Years Practitioner,2022-09-01,Scotland,Min,23427.835,29588
Early Years Practitioner,2022-09-01,Wales,Min,25607.17,29588
Early Years Practitioner,2022-10-01,England,Min,22665.07,29588
Early Years Practitioner,2022-10-01,Scotland,Min,23700.25,29588
Early Years Practitioner,2022-10-01,Wales,Min,19619.449999999997,29588
Early Years Practitioner,2022-11-01,England,Min,22665.07,29588
Early Years Practitioner,2022-11-01,Northern Ireland,Min,,29588
Early Years Practitioner,2022-11-01,Scotland,Min,22338.165,29588
Early Years Practitioner,2022-11-01,Wales,Min,18415.37,29588
Early Years Practitioner,2022-12-01,England,Min,22665.07,29588
Early Years Practitioner,2022-12-01,Northern Ireland,Min,,29588
Early Years Practitioner,2022-12-01,Scotland,Min,29148.585,29588
Early Years Practitioner,2022-12-01,Wales,Min,21248.5,29588
Early Years Practitioner,2023-01-01,England,Min,21156.25,29588
Early Years Practitioner,2023-01-01,Scotland,Min,35000.0,29588
Early Years Practitioner,2023-01-01,Wales,Min,19110.0,29588
Early Years Practitioner,2023-02-01,England,Min,21000.0,29588
Early Years Practitioner,2023-02-01,Scotland,Min,35500.0,29588
Early Years Practitioner,2023-02-01,Wales,Min,21001.5,29588
Early Years Practitioner,2023-03-01,England,Min,22000.0,29588
Early Years Practitioner,2023-03-01,Scotland,Min,22000.0,29588
Early Years Practitioner,2023-03-01,Wales,Min,18525.0,29588
Primary School Teacher,2021-04-01,England,Min,33626.46,29588
Primary School Teacher,2021-04-01,Wales,Min,42357.11,29588
Primary School Teacher,2021-05-01,England,Min,33626.46,29588
Primary School Teacher,2021-05-01,Wales,Min,42357.11,29588
Primary School Teacher,2021-06-01,England,Min,33626.46,29588
Primary School Teacher,2021-06-01,Wales,Min,42357.11,29588
Primary School Teacher,2021-07-01,England,Min,32097.99,29588
Primary School Teacher,2021-07-01,Wales,Min,42577.21,29588
Primary School Teacher,2021-08-01,England,Min,30569.51,29588
Primary School Teacher,2021-08-01,Wales,Min,30569.51,29588
Primary School Teacher,2021-09-01,England,Min,33626.46,29588
Primary School Teacher,2021-09-01,Wales,Min,41268.84,29588
Primary School Teacher,2021-10-01,England,Min,35154.94,29588
Primary School Teacher,2021-10-01,Wales,Min,43058.68,29588
Primary School Teacher,2021-11-01,England,Min,33626.46,29588
Primary School Teacher,2021-11-01,Wales,Min,43320.05,29588
Primary School Teacher,2021-12-01,England,Min,33626.46,29588
Primary School Teacher,2021-12-01,Wales,Min,43327.695,29588
Primary School Teacher,2022-01-01,England,Min,31164.47,29588
Primary School Teacher,2022-01-01,Wales,Min,40148.33,29588
Primary School Teacher,2022-02-01,England,Min,32597.38,29588
Primary School Teacher,2022-02-01,Wales,Min,39663.87,29588
Primary School Teacher,2022-03-01,England,Min,32597.38,29588
Primary School Teacher,2022-03-01,Wales,Min,39663.87,29588
Primary School Teacher,2022-04-01,England,Min,32581.03,29588
Primary School Teacher,2022-04-01,Wales,Min,40148.33,29588
Primary School Teacher,2022-05-01,England,Min,31164.47,29588
Primary School Teacher,2022-05-01,Wales,Min,39663.87,29588
Primary School Teacher,2022-06-01,England,Min,31164.47,29588
Primary School Teacher,2022-06-01,Wales,Min,39663.87,29588
Primary School Teacher,2022-07-01,England,Min,31164.47,29588
Primary School Teacher,2022-07-01,Scotland,Min,33997.6,29588
Primary School Teacher,2022-07-01,Wales,Min,39663.87,29588
Primary School Teacher,2022-08-01,England,Min,31164.47,29588
Primary School Teacher,2022-08-01,Wales,Min,39663.87,29588
Primary School Teacher,2022-09-01,England,Min,31447.78,29588
Primary School Teacher,2022-09-01,Wales,Min,41080.43,29588
Primary School Teacher,2022-10-01,England,Min,31164.47,29588
Primary School Teacher,2022-10-01,Wales,Min,41080.43,29588
Primary School Teacher,2022-11-01,England,Min,33213.04,29588
Primary School Teacher,2022-11-01,Wales,Min,41930.37,29588
Primary School Teacher,2022-12-01,England,Min,33997.6,29588
Primary School Teacher,2022-12-01,Scotland,Min,,29588
Primary School Teacher,2022-12-01,Wales,Min,41938.87,29588
Primary School Teacher,2023-01-01,England,Min,28600.0,29588
Primary School Teacher,2023-01-01,Wales,Min,38500.8,29588
Primary School Teacher,2023-02-01,England,Min,31200.0,29588
Primary School Teacher,2023-02-01,Wales,Min,38357.8,29588
Primary School Teacher,2023-03-01,England,Min,31200.0,29588
Primary School Teacher,2023-03-01,Wales,Min,38888.2,29588
Retail Assistant,2021-04-01,England,Min,21895.41,29588
Retail Assistant,2021-04-01,Scotland,Min,21895.41,29588
Retail Assistant,2021-04-01,Wales,Min,21895.41,29588
Retail Assistant,2021-05-01,England,Min,21895.41,29588
Retail Assistant,2021-05-01,Northern Ireland,Min,20428.07,29588
Retail Assistant,2021-05-01,Scotland,Min,21895.41,29588
Retail Assistant,2021-05-01,Wales,Min,21895.41,29588
Retail Assistant,2021-06-01,England,Min,21895.41,29588
Retail Assistant,2021-06-01,Northern Ireland,Min,20428.07,29588
Retail Assistant,2021-06-01,Scotland,Min,21895.41,29588
Retail Assistant,2021-06-01,Wales,Min,21264.915,29588
Retail Assistant,2021-07-01,England,Min,21895.41,29588
Retail Assistant,2021-07-01,Scotland,Min,21264.915,29588
Retail Assistant,2021-07-01,Wales,Min,21895.41,29588
Retail Assistant,2021-08-01,England,Min,21230.52,29588
Retail Assistant,2021-08-01,Northern Ireland,Min,20428.07,29588
Retail Assistant,2021-08-01,Scotland,Min,21895.41,29588
Retail Assistant,2021-08-01,Wales,Min,21895.41,29588
Retail Assistant,2021-09-01,England,Min,21895.41,29588
Retail Assistant,2021-09-01,Scotland,Min,21895.41,29588
Retail Assistant,2021-09-01,Wales,Min,21895.41,29588
Retail Assistant,2021-10-01,England,Min,21895.41,29588
Retail Assistant,2021-10-01,Northern Ireland,Min,25866.51,29588
Retail Assistant,2021-10-01,Scotland,Min,21895.41,29588
Retail Assistant,2021-10-01,Wales,Min,20496.86,29588
Retail Assistant,2021-11-01,England,Min,22124.68,29588
Retail Assistant,2021-11-01,Scotland,Min,21895.41,29588
Retail Assistant,2021-11-01,Wales,Min,22411.27,29588
Retail Assistant,2021-12-01,England,Min,25380.34,29588
Retail Assistant,2021-12-01,Scotland,Min,27512.56,29588
Retail Assistant,2021-12-01,Wales,Min,21895.41,29588
Retail Assistant,2022-01-01,England,Min,20292.32,29588
Retail Assistant,2022-01-01,Northern Ireland,Min,21248.5,29588
Retail Assistant,2022-01-01,Scotland,Min,21793.33,29588
Retail Assistant,2022-01-01,Wales,Min,20292.32,29588
Retail Assistant,2022-02-01,England,Min,21460.99,29588
Retail Assistant,2022-02-01,Northern Ireland,Min,23972.67,29588
Retail Assistant,2022-02-01,Scotland,Min,21460.99,29588
Retail Assistant,2022-02-01,Wales,Min,21460.99,29588
Retail Assistant,2022-03-01,England,Min,21460.99,29588
Retail Assistant,2022-03-01,Northern Ireland,Min,,29588
Retail Assistant,2022-03-01,Scotland,Min,21460.99,29588
Retail Assistant,2022-03-01,Wales,Min,21460.99,29588
Retail Assistant,2022-04-01,England,Min,21460.99,29588
Retail Assistant,2022-04-01,Northern Ireland,Min,20611.05,29588
Retail Assistant,2022-04-01,Scotland,Min,21460.99,29588
Retail Assistant,2022-04-01,Wales,Min,21460.99,29588
Retail Assistant,2022-05-01,England,Min,21737.22,29588
Retail Assistant,2022-05-01,Northern Ireland,Min,,29588
Retail Assistant,2022-05-01,Scotland,Min,21460.99,29588
Retail Assistant,2022-05-01,Wales,Min,21460.99,29588
Retail Assistant,2022-06-01,England,Min,21460.99,29588
Retail Assistant,2022-06-01,Northern Ireland,Min,,29588
Retail Assistant,2022-06-01,Scotland,Min,21460.99,29588
Retail Assistant,2022-06-01,Wales,Min,21397.239999999998,29588
Retail Assistant,2022-07-01,England,Min,21460.99,29588
Retail Assistant,2022-07-01,Scotland,Min,21460.99,29588
Retail Assistant,2022-07-01,Wales,Min,21248.5,29588
Retail Assistant,2022-08-01,England,Min,21460.99,29588
Retail Assistant,2022-08-01,Scotland,Min,21460.99,29588
Retail Assistant,2022-08-01,Wales,Min,21248.5,29588
Retail Assistant,2022-09-01,England,Min,21779.71,29588
Retail Assistant,2022-09-01,Northern Ireland,Min,,29588
Retail Assistant,2022-09-01,Scotland,Min,22310.93,29588
Retail Assistant,2022-09-01,Wales,Min,,29588
Retail Assistant,2022-10-01,England,Min,22310.93,29588
Retail Assistant,2022-10-01,Scotland,Min,22310.93,29588
Retail Assistant,2022-10-01,Wales,Min,21248.5,29588
Retail Assistant,2022-11-01,England,Min,21431.56,29588
Retail Assistant,2022-11-01,Northern Ireland,Min,,29588
Retail Assistant,2022-11-01,Scotland,Min,20186.08,29588
Retail Assistant,2022-11-01,Wales,Min,21431.56,29588
Retail Assistant,2022-12-01,England,Min,21431.56,29588
Retail Assistant,2022-12-01,Scotland,Min,20186.08,29588
Retail Assistant,2022-12-01,Wales,Min,25498.2,29588
Retail Assistant,2023-01-01,England,Min,20000.0,29588
Retail Assistant,2023-01-01,Scotland,Min,,29588
Retail Assistant,2023-02-01,England,Min,20000.0,29588
Retail Assistant,2023-02-01,Scotland,Min,22225.0,29588
Retail Assistant,2023-02-01,Wales,Min,21450.0,29588
Retail Assistant,2023-03-01,England,Min,21450.0,29588
Retail Assistant,2023-03-01,Scotland,Min,24000.0,29588
Retail Assistant,2023-03-01,Wales,Min,18762.5,29588
Secondary School Teacher,2021-04-01,England,Min,33626.46,29588
Secondary School Teacher,2021-04-01,Wales,Min,42357.11,29588
Secondary School Teacher,2021-05-01,England,Min,31684.12,29588
Secondary School Teacher,2021-06-01,England,Min,30569.51,29588
Secondary School Teacher,2021-06-01,Wales,Min,42355.585,29588
Secondary School Teacher,2021-07-01,England,Min,31684.12,29588
Secondary School Teacher,2021-07-01,Wales,Min,42797.31,29588
Secondary School Teacher,2021-08-01,England,Min,30958.68,29588
Secondary School Teacher,2021-08-01,Wales,Min,28218.01,29588
Secondary School Teacher,2021-09-01,England,Min,33626.46,29588
Secondary School Teacher,2021-09-01,Wales,Min,43320.05,29588
Secondary School Teacher,2021-10-01,England,Min,32937.119999999995,29588
Secondary School Teacher,2021-11-01,England,Min,31333.75,29588
Secondary School Teacher,2021-11-01,Wales,Min,43058.68,29588
Secondary School Teacher,2021-12-01,England,Min,34390.7,29588
Secondary School Teacher,2021-12-01,Wales,Min,37447.65,29588
Secondary School Teacher,2022-01-01,England,Min,28331.33,29588
Secondary School Teacher,2022-01-01,Wales,Min,25716.13,29588
Secondary School Teacher,2022-02-01,England,Min,31164.47,29588
Secondary School Teacher,2022-03-01,England,Min,31164.47,29588
Secondary School Teacher,2022-03-01,Wales,Min,40148.33,29588
Secondary School Teacher,2022-04-01,England,Min,32190.06,29588
Secondary School Teacher,2022-04-01,Wales,Min,40148.33,29588
Secondary School Teacher,2022-05-01,England,Min,31164.47,29588
Secondary School Teacher,2022-05-01,Wales,Min,40148.33,29588
Secondary School Teacher,2022-06-01,England,Min,32014.41,29588
Secondary School Teacher,2022-06-01,Wales,Min,40148.33,29588
Secondary School Teacher,2022-07-01,England,Min,32018.66,29588
Secondary School Teacher,2022-07-01,Wales,Min,40148.33,29588
Secondary School Teacher,2022-08-01,England,Min,32014.41,29588
Secondary School Teacher,2022-08-01,Scotland,Min,41080.43,29588
Secondary School Teacher,2022-08-01,Wales,Min,40148.33,29588
Secondary School Teacher,2022-09-01,England,Min,33997.6,29588
Secondary School Teacher,2022-09-01,Scotland,Min,41080.43,29588
Secondary School Teacher,2022-09-01,Wales,Min,31164.47,29588
Secondary School Teacher,2022-10-01,England,Min,31164.47,29588
Secondary School Teacher,2022-10-01,Wales,Min,40148.33,29588
Secondary School Teacher,2022-11-01,England,Min,31164.47,29588
Secondary School Teacher,2022-11-01,Wales,Min,40148.33,29588
Secondary School Teacher,2022-12-01,England,Min,33997.6,29588
Secondary School Teacher,2022-12-01,Wales,Min,41930.37,29588
Secondary School Teacher,2023-01-01,England,Min,31200.0,29588
Secondary School Teacher,2023-01-01,Wales,Min,38487.8,29588
Secondary School Teacher,2023-02-01,England,Min,29497.0,29588
Secondary School Teacher,2023-02-01,Wales,Min,,29588
Secondary School Teacher,2023-03-01,England,Min,31200.0,29588
Secondary School Teacher,2023-03-01,Wales,Min,38487.8,29588
Waiter,2021-04-01,England,Min,20428.07,29588
Waiter,2021-05-01,England,Min,20634.42,29588
Waiter,2021-05-01,Scotland,Min,20428.07,29588
Waiter,2021-05-01,Wales,Min,27042.26,29588
Waiter,2021-06-01,England,Min,20634.42,29588
Waiter,2021-06-01,Scotland,Min,22353.955,29588
Waiter,2021-06-01,Wales,Min,20428.07,29588
Waiter,2021-07-01,England,Min,21619.11,29588
Waiter,2021-07-01,Wales,Min,32921.01,29588
Waiter,2021-08-01,England,Min,22927.13,29588
Waiter,2021-08-01,Wales,Min,19167.08,29588
Waiter,2021-09-01,England,Min,21895.415,29588
Waiter,2021-09-01,Scotland,Min,19167.08,29588
Waiter,2021-09-01,Wales,Min,20932.47,29588
Waiter,2021-10-01,England,Min,22353.95,29588
Waiter,2021-10-01,Scotland,Min,23672.265,29588
Waiter,2021-10-01,Wales,Min,21780.78,29588
Waiter,2021-11-01,England,Min,23794.25,29588
Waiter,2021-11-01,Scotland,Min,21780.78,29588
Waiter,2021-11-01,Wales,Min,21780.78,29588
Waiter,2021-12-01,England,Min,22514.44,29588
Waiter,2022-01-01,England,Min,23160.864999999998,29588
Waiter,2022-01-01,Scotland,Min,20186.08,29588
Waiter,2022-01-01,Wales,Min,20186.08,29588
Waiter,2022-02-01,England,Min,21248.5,29588
Waiter,2022-02-01,Scotland,Min,20186.08,29588
Waiter,2022-02-01,Wales,Min,20186.08,29588
Waiter,2022-03-01,England,Min,23373.35,29588
Waiter,2022-03-01,Wales,Min,22629.65,29588
Waiter,2022-04-01,England,Min,25498.2,29588
Waiter,2022-04-01,Scotland,Min,,29588
Waiter,2022-05-01,England,Min,24701.385000000002,29588
Waiter,2022-05-01,Scotland,Min,,29588
Waiter,2022-06-01,England,Min,23373.35,29588
Waiter,2022-06-01,Wales,Min,,29588
Waiter,2022-07-01,England,Min,25062.33,29588
Waiter,2022-07-01,Scotland,Min,,29588
Waiter,2022-08-01,England,Min,24966.99,29588
Waiter,2022-08-01,Scotland,Min,23373.35,29588
Waiter,2022-09-01,England,Min,23373.35,29588
Waiter,2022-09-01,Scotland,Min,,29588
Waiter,2022-09-01,Wales,Min,28069.81,29588
Waiter,2022-10-01,England,Min,23638.955,29588
Waiter,2022-10-01,Scotland,Min,23564.59,29588
Waiter,2022-10-01,Wales,Min,,29588
Waiter,2022-11-01,England,Min,23726.129999999997,29588
Waiter,2022-11-01,Scotland,Min,23564.59,29588
Waiter,2022-11-01,Wales,Min,,29588
Waiter,2022-12-01,England,Min,27623.05,29588
Waiter,2023-01-01,England,Min,24000.0,29588
Waiter,2023-01-01,Scotland,Min,19305.0,29588
Waiter,2023-01-01,Wales,Min,19305.0,29588
Waiter,2023-02-01,England,Min,25000.0,29588
Waiter,2023-02-01,Scotland,Min,,29588
Waiter,2023-03-01,England,Min,23088.0,29588
Waiter,2023-03-01,Scotland,Min,18525.0,29588
Early Years Practitioner,2021-04-01,England,Max,25866.51,29588
Early Years Practitioner,2021-04-01,Scotland,Max,31288.480000000003,29588
Early Years Practitioner,2021-04-01,Wales,Max,20825.48,29588
Early Years Practitioner,2021-05-01,England,Max,25984.08,29588
Early Years Practitioner,2021-05-01,Northern Ireland,Max,35272.51,29588
Early Years Practitioner,2021-05-01,Scotland,Max,29191.825,29588
Early Years Practitioner,2021-05-01,Wales,Max,25219.85,29588
Early Years Practitioner,2021-06-01,England,Max,26435.57,29588
Early Years Practitioner,2021-06-01,Scotland,Max,42327.01,29588
Early Years Practitioner,2021-06-01,Wales,Max,25219.85,29588
Early Years Practitioner,2021-07-01,England,Max,26136.93,29588
Early Years Practitioner,2021-07-01,Scotland,Max,,29588
Early Years Practitioner,2021-07-01,Wales,Max,21398.66,29588
Early Years Practitioner,2021-08-01,England,Max,27042.26,29588
Early Years Practitioner,2021-08-01,Northern Ireland,Max,,29588
Early Years Practitioner,2021-08-01,Scotland,Max,24455.61,29588
Early Years Practitioner,2021-08-01,Wales,Max,25219.85,29588
Early Years Practitioner,2021-09-01,England,Max,25984.08,29588
Early Years Practitioner,2021-09-01,Northern Ireland,Max,,29588
Early Years Practitioner,2021-09-01,Scotland,Max,25866.51,29588
Early Years Practitioner,2021-09-01,Wales,Max,22162.895,29588
Early Years Practitioner,2021-10-01,England,Max,26454.38,29588
Early Years Practitioner,2021-10-01,Scotland,Max,34939.48,29588
Early Years Practitioner,2021-10-01,Wales,Max,26618.4,29588
Early Years Practitioner,2021-11-01,England,Max,26366.2,29588
Early Years Practitioner,2021-11-01,Scotland,Max,29553.07,29588
Early Years Practitioner,2021-11-01,Wales,Max,29393.76,29588
Early Years Practitioner,2021-12-01,England,Max,26366.2,29588
Early Years Practitioner,2021-12-01,Scotland,Max,,29588
Early Years Practitioner,2021-12-01,Wales,Max,24073.489999999998,29588
Early Years Practitioner,2022-01-01,England,Max,25062.33,29588
Early Years Practitioner,2022-01-01,Wales,Max,25498.2,29588
Early Years Practitioner,2022-02-01,England,Max,25073.23,29588
Early Years Practitioner,2022-02-01,Scotland,Max,28603.75,29588
Early Years Practitioner,2022-02-01,Wales,Max,25073.23,29588
Early Years Practitioner,2022-03-01,England,Max,25498.2,29588
Early Years Practitioner,2022-03-01,Scotland,Max,24749.055,29588
Early Years Practitioner,2022-03-01,Wales,Max,25073.23,29588
Early Years Practitioner,2022-04-01,England,Max,25816.93,29588
Early Years Practitioner,2022-04-01,Northern Ireland,Max,27241.67,29588
Early Years Practitioner,2022-04-01,Scotland,Max,27389.32,29588
Early Years Practitioner,2022-04-01,Wales,Max,22629.65,29588
Early Years Practitioner,2022-05-01,England,Max,25498.2,29588
Early Years Practitioner,2022-05-01,Northern Ireland,Max,27241.67,29588
Early Years Practitioner,2022-05-01,Scotland,Max,27241.67,29588
Early Years Practitioner,2022-05-01,Wales,Max,22310.93,29588
Early Years Practitioner,2022-06-01,England,Max,25607.17,29588
Early Years Practitioner,2022-06-01,Scotland,Max,22576.53,29588
Early Years Practitioner,2022-06-01,Wales,Max,23373.35,29588
Early Years Practitioner,2022-07-01,England,Max,26152.0,29588
Early Years Practitioner,2022-07-01,Scotland,Max,34131.085,29588
Early Years Practitioner,2022-07-01,Wales,Max,22670.73,29588
Early Years Practitioner,2022-08-01,England,Max,25607.17,29588
Early Years Practitioner,2022-08-01,Northern Ireland,Max,,29588
Early Years Practitioner,2022-08-01,Scotland,Max,28331.335,29588
Early Years Practitioner,2022-08-01,Wales,Max,25607.17,29588
Early Years Practitioner,2022-09-01,England,Max,25607.17,29588
Early Years Practitioner,2022-09-01,Scotland,Max,28331.33,29588
Early Years Practitioner,2022-09-01,Wales,Max,25607.17,29588
Early Years Practitioner,2022-10-01,England,Max,25795.68,29588
Early Years Practitioner,2022-10-01,Scotland,Max,25852.34,29588
Early Years Practitioner,2022-10-01,Wales,Max,21959.614999999998,29588
Early Years Practitioner,2022-11-01,England,Max,26628.730000000003,29588
Early Years Practitioner,2022-11-01,Northern Ireland,Max,,29588
Early Years Practitioner,2022-11-01,Scotland,Max,23427.835,29588
Early Years Practitioner,2022-11-01,Wales,Max,22665.07,29588
Early Years Practitioner,2022-12-01,England,Max,26914.77,29588
Early Years Practitioner,2022-12-01,Northern Ireland,Max,,29588
Early Years Practitioner,2022-12-01,Scotland,Max,31845.51,29588
Early Years Practitioner,2022-12-01,Wales,Max,23373.35,29588
Early Years Practitioner,2023-01-01,England,Max,24024.0,29588
Early Years Practitioner,2023-01-01,Scotland,Max,38500.0,29588
Early Years Practitioner,2023-01-01,Wales,Max,21450.0,29588
Early Years Practitioner,2023-02-01,England,Max,24700.0,29588
Early Years Practitioner,2023-02-01,Scotland,Max,38100.0,29588
Early Years Practitioner,2023-02-01,Wales,Max,21450.0,29588
Early Years Practitioner,2023-03-01,England,Max,25000.0,29588
Early Years Practitioner,2023-03-01,Scotland,Max,26000.0,29588
Early Years Practitioner,2023-03-01,Wales,Max,23400.0,29588
Primary School Teacher,2021-04-01,England,Max,45854.26,29588
Primary School Teacher,2021-04-01,Wales,Max,43879.0,29588
Primary School Teacher,2021-05-01,England,Max,47030.01,29588
Primary School Teacher,2021-05-01,Wales,Max,44325.79,29588
Primary School Teacher,2021-06-01,England,Max,48915.92,29588
Primary School Teacher,2021-06-01,Wales,Max,42577.21,29588
Primary School Teacher,2021-07-01,England,Max,47175.81,29588
Primary School Teacher,2021-07-01,Wales,Max,44325.785,29588
Primary School Teacher,2021-08-01,England,Max,44325.79,29588
Primary School Teacher,2021-08-01,Wales,Max,42797.31,29588
Primary School Teacher,2021-09-01,England,Max,46691.28,29588
Primary School Teacher,2021-09-01,Wales,Max,42797.31,29588
Primary School Teacher,2021-10-01,England,Max,45854.26,29588
Primary School Teacher,2021-10-01,Wales,Max,46115.635,29588
Primary School Teacher,2021-11-01,England,Max,47382.74,29588
Primary School Teacher,2021-11-01,Wales,Max,47382.74,29588
Primary School Teacher,2021-12-01,England,Max,48911.22,29588
Primary School Teacher,2021-12-01,Wales,Max,45854.26,29588
Primary School Teacher,2022-01-01,England,Max,42497.0,29588
Primary School Teacher,2022-01-01,Wales,Max,45330.13,29588
Primary School Teacher,2022-02-01,England,Max,45330.13,29588
Primary School Teacher,2022-02-01,Wales,Max,50996.4,29588
Primary School Teacher,2022-03-01,England,Max,45330.13,29588
Primary School Teacher,2022-03-01,Wales,Max,50996.4,29588
Primary School Teacher,2022-04-01,England,Max,45766.0,29588
Primary School Teacher,2022-04-01,Wales,Max,50996.4,29588
Primary School Teacher,2022-05-01,England,Max,45334.49,29588
Primary School Teacher,2022-05-01,Wales,Max,40148.33,29588
Primary School Teacher,2022-06-01,England,Max,45330.13,29588
Primary School Teacher,2022-06-01,Wales,Max,45330.13,29588
Primary School Teacher,2022-07-01,England,Max,45330.13,29588
Primary School Teacher,2022-07-01,Scotland,Max,45330.13,29588
Primary School Teacher,2022-07-01,Wales,Max,50996.4,29588
Primary School Teacher,2022-08-01,England,Max,42497.0,29588
Primary School Teacher,2022-08-01,Wales,Max,43913.57,29588
Primary School Teacher,2022-09-01,England,Max,44369.05,29588
Primary School Teacher,2022-09-01,Wales,Max,48163.27,29588
Primary School Teacher,2022-10-01,England,Max,45330.13,29588
Primary School Teacher,2022-10-01,Wales,Max,43913.57,29588
Primary School Teacher,2022-11-01,England,Max,45330.13,29588
Primary School Teacher,2022-11-01,Wales,Max,45330.13,29588
Primary School Teacher,2022-12-01,England,Max,45330.13,29588
Primary School Teacher,2022-12-01,Scotland,Max,,29588
Primary School Teacher,2022-12-01,Wales,Max,46746.7,29588
Primary School Teacher,2023-01-01,England,Max,41600.0,29588
Primary School Teacher,2023-01-01,Wales,Max,39000.0,29588
Primary School Teacher,2023-02-01,England,Max,41600.0,29588
Primary School Teacher,2023-02-01,Wales,Max,40950.0,29588
Primary School Teacher,2023-03-01,England,Max,42900.0,29588
Primary School Teacher,2023-03-01,Wales,Max,41600.0,29588
Retail Assistant,2021-04-01,England,Max,24233.98,29588
Retail Assistant,2021-04-01,Scotland,Max,24233.98,29588
Retail Assistant,2021-04-01,Wales,Max,24233.98,29588
Retail Assistant,2021-05-01,England,Max,24233.98,29588
Retail Assistant,2021-05-01,Northern Ireland,Max,20428.07,29588
Retail Assistant,2021-05-01,Scotland,Max,24233.98,29588
Retail Assistant,2021-05-01,Wales,Max,24233.98,29588
Retail Assistant,2021-06-01,England,Max,24233.98,29588
Retail Assistant,2021-06-01,Northern Ireland,Max,20428.07,29588
Retail Assistant,2021-06-01,Scotland,Max,24233.98,29588
Retail Assistant,2021-06-01,Wales,Max,22743.715,29588
Retail Assistant,2021-07-01,England,Max,24233.98,29588
Retail Assistant,2021-07-01,Scotland,Max,24233.98,29588
Retail Assistant,2021-07-01,Wales,Max,24233.98,29588
Retail Assistant,2021-08-01,England,Max,21780.78,29588
Retail Assistant,2021-08-01,Northern Ireland,Max,20428.07,29588
