profession,month_year,nation,salary_type,salary,median_salary
Early Years Practitioner,2021-04-01,England,Min,22339.26,29588
Early Years Practitioner,2021-04-01,Scotland,Min,28175.095,29588
Early Years Practitioner,2021-04-01,Wales,Min,20252.3,29588
Early Years Practitioner,2021-05-01,England,Min,22927.13,29588
Early Years Practitioner,2021-05-01,Northern Ireland,Min,29394.93,29588
Early Years Practitioner,2021-05-01,Scotland,Min,27842.065000000002,29588
Early Years Practitioner,2021-05-01,Wales,Min,23959.44,29588
Early Years Practitioner,2021-06-01,England,Min,22927.13,29588
Early Years Practitioner,2021-06-01,Scotland,Min,29393.76,29588
Early Years Practitioner,2021-06-01,Wales,Min,22995.91,29588
Early Years Practitioner,2021-07-01,England,Min,22927.13,29588
Early Years Practitioner,2021-07-01,Scotland,Min,,29588
Early Years Practitioner,2021-07-01,Wales,Min,19870.18,29588
Early Years Practitioner,2021-08-01,England,Min,23221.07,29588
Early Years Practitioner,2021-08-01,Northern Ireland,Min,,29588
Early Years Practitioner,2021-08-01,Scotland,Min,24455.61,29588
Early Years Practitioner,2021-08-01,Wales,Min,22995.91,29588
Early Years Practitioner,2021-09-01,England,Min,22669.64,29588
Early Years Practitioner,2021-09-01,Northern Ireland,Min,,29588
Early Years Practitioner,2021-09-01,Scotland,Min,23221.07,29588
Early Years Practitioner,2021-09-01,Wales,Min,19105.945,29588
Early Years Practitioner,2021-10-01,England,Min,22927.13,29588
Early Years Practitioner,2021-10-01,Scotland,Min,29060.73,29588
Early Years Practitioner,2021-10-01,Wales,Min,25391.800000000003,29588
Early Years Practitioner,2021-11-01,England,Min,22927.13,29588
Early Years Practitioner,2021-11-01,Scotland,Min,29553.07,29588
Early Years Practitioner,2021-11-01,Wales,Min,22927.13,29588
Early Years Practitioner,2021-12-01,England,Min,22927.13,29588
Early Years Practitioner,2021-12-01,Scotland,Min,,29588
Early Years Practitioner,2021-12-01,Wales,Min,22162.895,29588
Early Years Practitioner,2022-01-01,England,Min,21227.25,29588
Early Years Practitioner,2022-01-01,Wales,Min,21248.5,29588
Early Years Practitioner,2022-02-01,England,Min,21793.33,29588
Early Years Practitioner,2022-02-01,Scotland,Min,21248.5,29588
Early Years Practitioner,2022-02-01,Wales,Min,22629.65,29588
Early Years Practitioner,2022-03-01,England,Min,21793.33,29588
Early Years Practitioner,2022-03-01,Scotland,Min,22065.75,29588
Early Years Practitioner,2022-03-01,Wales,Min,22629.65,29588
Early Years Practitioner,2022-04-01,England,Min,22774.03,29588
Early Years Practitioner,2022-04-01,Northern Ireland,Min,16345.0,29588
Early Years Practitioner,2022-04-01,Scotland,Min,24435.78,29588
Early Years Practitioner,2022-04-01,Wales,Min,20186.08,29588
Early Years Practitioner,2022-05-01,England,Min,22629.65,29588
Early Years Practitioner,2022-05-01,Northern Ireland,Min,16345.0,29588
Early Years Practitioner,2022-05-01,Scotland,Min,21793.33,29588
Early Years Practitioner,2022-05-01,Wales,Min,21312.25,29588
Early Years Practitioner,2022-06-01,England,Min,23373.35,29588
Early Years Practitioner,2022-06-01,Scotland,Min,21514.105,29588
Early Years Practitioner,2022-06-01,Wales,Min,21312.25,29588
Early Years Practitioner,2022-07-01,England,Min,22665.07,29588
