month_year,qualification_level,count,median_max_annualised_salary,median_min_annualised_salary
2020-12,1.0,1,23400.0,15600.0
2020-12,2.0,53,26072.5,24000.0
2020-12,3.0,249,20650.0,17043.0
2020-12,5.0,1,20475.0,17004.0
2020-12,6.0,133,24000.0,22000.0
2021-01,1.0,28,21000.0,19000.0
2021-01,2.0,1671,22000.0,19000.0
2021-01,3.0,2343,22500.0,18500.0
2021-01,4.0,63,19175.0,17225.0
2021-01,5.0,1,19500.0,19071.0
2021-01,6.0,542,22000.0,17550.0
2021-02,1.0,154,21000.0,18700.0
2021-02,2.0,1990,23000.0,19500.0
2021-02,3.0,2679,22425.0,19500.0
2021-02,4.0,44,21450.0,17842.5
2021-02,5.0,21,17000.0,16000.0
2021-02,6.0,912,23400.0,19000.0
2021-03,1.0,178,24000.0,19990.0
2021-03,2.0,2214,22800.0,19500.0
2021-03,3.0,4844,23000.0,19500.0
2021-03,4.0,1,,
2021-03,5.0,4,21177.0,19129.5
2021-03,6.0,1167,23400.0,19500.0
2021-04,1.0,49,19500.0,16900.0
2021-04,2.0,2181,23000.0,19500.0
2021-04,3.0,4225,22445.0,20000.0
2021-04,4.0,4,20800.0,18200.0
2021-04,5.0,42,20800.0,19488.0
2021-04,6.0,874,21600.0,18525.0
2021-05,1.0,117,26000.0,26000.0
2021-05,2.0,2904,24000.0,20000.0
2021-05,3.0,5055,22100.0,20000.0
2021-05,4.0,23,19500.0,13000.0
2021-05,5.0,1,14262.0,13262.0
2021-05,6.0,1187,23000.0,19990.0
2021-06,1.0,25,22000.0,18000.0
2021-06,2.0,2572,24700.0,20000.0
2021-06,3.0,3333,23500.0,21000.0
2021-06,4.0,2,23653.5,23653.5
2021-06,5.0,1,,
2021-06,6.0,1198,25000.0,22000.0
2021-07,1.0,90,22100.0,18200.0
2021-07,2.0,1913,24000.0,20000.0
2021-07,3.0,4876,23400.0,20001.0
2021-07,4.0,3,30000.0,29000.0
2021-07,5.0,2,22900.0,21750.0
2021-07,6.0,1377,24000.0,20000.0
2021-08,1.0,73,21900.0,19500.0
2021-08,2.0,2134,23400.0,20500.0
2021-08,3.0,3141,23400.0,21000.0
2021-08,4.0,25,20800.0,16900.0
2021-08,5.0,22,26750.0,24350.0
2021-08,6.0,863,25400.0,21000.0
2021-09,1.0,45,23000.0,19500.0
2021-09,2.0,1582,23000.0,19250.0
2021-09,3.0,3078,23000.0,20000.0
2021-09,4.0,1,20800.0,18200.0
2021-09,5.0,1,25350.0,15600.0
2021-09,6.0,842,23000.0,19500.0
2021-10,1.0,114,23000.0,21000.0
2021-10,2.0,3637,23211.0,20800.0
2021-10,3.0,3670,24277.5,20670.0
2021-10,4.0,2,28600.0,22100.0
2021-10,5.0,1,24700.0,17238.0
2021-10,6.0,1179,23000.0,19773.0
2021-11,1.0,247,24277.5,19792.5
2021-11,2.0,2979,23887.5,20800.0
2021-11,3.0,3453,24000.0,20000.0
2021-11,4.0,3,20150.0,17550.0
2021-11,5.0,46,19500.0,17550.0
2021-11,6.0,1363,23400.0,19500.0
2021-12,1.0,102,23000.0,21157.5
