month_year,qualification_level,count,median_max_annualised_salary,median_min_annualised_salary
2021-12,2.0,2155,22500.0,19600.0
2021-12,3.0,3450,23000.0,19687.5
2021-12,4.0,21,39000.0,33800.0
2021-12,6.0,909,23960.0,20800.0
2022-01,1.0,111,22269.0,18525.0
2022-01,2.0,2906,23400.0,20000.0
2022-01,3.0,4667,23500.0,21000.0
2022-01,4.0,45,21091.0,20488.0
2022-01,5.0,2,30700.0,28354.5
2022-01,6.0,975,23000.0,20000.0
2022-02,1.0,92,30000.0,25000.0
2022-02,2.0,2408,23400.0,20176.0
2022-02,3.0,5138,25000.0,21000.0
2022-02,4.0,43,23000.0,21000.0
2022-02,5.0,1,,
2022-02,6.0,573,23000.0,19500.0
2022-03,1.0,51,21580.0,19000.0
2022-03,2.0,3300,25350.0,21000.0
2022-03,3.0,4638,24000.0,20800.0
2022-03,4.0,22,35000.0,32157.0
2022-03,5.0,92,22674.0,16900.0
2022-03,6.0,1193,25500.0,22912.5
2022-04,1.0,6,23700.0,20750.0
2022-04,2.0,2144,24000.0,21450.0
2022-04,3.0,2492,24500.0,22000.0
2022-04,4.0,42,36517.5,25757.0
2022-04,5.0,25,24900.0,19500.0
2022-04,6.0,637,24024.0,21840.0
2022-05,1.0,91,18525.0,18525.0
2022-05,2.0,2602,25000.0,21000.0
2022-05,3.0,4616,26000.0,22000.0
2022-05,4.0,1,21000.0,17000.0
2022-05,5.0,3,23887.5,21450.0
2022-05,6.0,1327,24001.0,22000.0
2022-06,1.0,200,30000.0,27573.0
2022-06,2.0,1650,25612.0,21450.0
2022-06,3.0,3604,24700.0,22100.0
2022-06,4.0,1,23400.0,18200.0
2022-06,5.0,1,,
2022-06,6.0,1060,24375.0,22000.0
2022-07,1.0,144,25000.0,23140.0
2022-07,2.0,1611,26063.5,21450.0
2022-07,3.0,3057,28000.0,22300.0
2022-07,4.0,2,24904.75,21450.0
2022-07,5.0,7,22674.0,16309.0
2022-07,6.0,797,24700.0,21000.0
2022-08,1.0,47,21580.0,17147.0
2022-08,2.0,951,25000.0,20982.0
2022-08,3.0,2753,25000.0,21450.0
2022-08,4.0,6,21450.0,21450.0
2022-08,5.0,24,32000.0,22000.0
2022-08,6.0,690,25000.0,20800.0
2022-09,1.0,66,23400.0,23140.0
2022-09,2.0,2437,26000.0,21783.0
2022-09,3.0,3335,24700.0,21060.0
2022-09,4.0,23,19760.0,19760.0
2022-09,5.0,25,27300.0,24700.0
2022-09,6.0,1410,26000.0,22000.0
2022-10,1.0,72,33800.0,32260.0
2022-10,2.0,594,23400.0,20475.0
2022-10,3.0,1813,25350.0,21450.0
2022-10,5.0,23,32000.0,22000.0
2022-10,6.0,627,28000.0,22500.0
2023-03,2.0,109,26000.0,23500.0
2023-03,3.0,172,28000.0,26000.0
2023-03,6.0,2,41459.5,32672.0
